sItem_code,seq,id,descr,fApp_code,tCode_code,semanticObject,semanticAction,bRole_code,,
1GF,003,1GF.003,Execute Settlement for Assets Under Construction (Periodic Processing)(Execute Settlement),,AIBU,FixedAsset,settle,SAP_BR_AA_ACCOUNTANT,,
1GF,004,1GF.004,Execute Settlement for Assets Under Construction (Periodic Processing)(Execute Settlement - For AuC),,AIBU,FixedAsset,settle,SAP_BR_AA_ACCOUNTANT,,
1GI,001,1GI.001,Create Actual Distribution Cycle G/L,FAGLGA31,,GLDistributionCycle,createActual,SAP_BR_GL_ACCOUNTANT,,
1GI,002,1GI.002,Change Actual Distribution Cycle(Change Actual Distribution Cycle G/L),FAGLGA32,,GLDistributionCycle,changeActual,SAP_BR_GL_ACCOUNTANT,,
1GI,003,1GI.003,Execute Actual Distribution Cycle G/L(Execute Actual Distribution G/L),FAGLGA35,,GLDistributionCycle,executeActual,SAP_BR_GL_ACCOUNTANT,,
1GI,004,1GI.004,Display Actual Distribution Cycle(Display Actual Distribution Cycle G/L),FAGLGA33,,GLDistributionCycle,displayActual,SAP_BR_GL_ACCOUNTANT,,
1GI,005,1GI.005,Overview Actual Distribution Cycle G/L(Overview Actual Distribution G/L),FAGLGA16,,GLDistributionCycle,displayOverviewActual,SAP_BR_GL_ACCOUNTANT,,
1GI,006,1GI.006,Overview Actual Distribution Cycle G/L(Overview Actual Distribution G/L),FAGLGA36,,GLAssessmentCycle,displayOverviewActual,SAP_BR_GL_ACCOUNTANT,,
1GI,007,1GI.007,Delete Actual Distribution Cycle G/L,FAGLGA34,,GLDistributionCycle,deleteActual,SAP_BR_GL_ACCOUNTANT,,
1GO,001,1GO.001,Post Cash Journal Entries,FBCJ,,CashJournal,enterCashJournalEntry,SAP_BR_CASH_SPECIALIST,,
1GO,002,1GO.002,Print Cash Receipt(Output Parameter Determination),,APOC_WD_BRF_DEC_TAB_MAINTAIN,OutputParameterDetermination,maintain,SAP_BR_ADMINISTRATOR,,
1GO,003,1GO.003,Print Cash Receipt(Post Cash Journal Entries),FBCJ,,CashJournal,enterCashJournalEntry,SAP_BR_CASH_SPECIALIST,,
1GO,004,1GO.004,Print Cash Receipt(Display Document),FPE3,,CADocument,display,SAP_BR_ADMIN_APR_FICA,,
1GO,005,1GO.005,Print Cash Receipt(Display Document),,,BusinessPartner,display,SAP_BR_AA_ACCOUNTANT,,
1GO,006,1GO.006,Cash Journal,,S_P6B_12000118,CashJournal,displayCashJournal,SAP_BR_GL_ACCOUNTANT,,
1HB,001,1HB.001,Template for File Upload(Import Financial Plan Data),F1711,,CompanyCode,integrateERPPC,SAP_BR_BUDGET_SPECIALIST,,
1HB,002,1HB.002,Import Financial Plan Data,F1711,,CompanyCode,integrateERPPC,SAP_BR_BUDGET_SPECIALIST,,
1HB,003,1HB.003,P&L Actual versus Plan(P&amp;L - Plan/Actual),F1710,,CompanyCode,analyzePlanActualPC,SAP_BR_EXTERNAL_AUDITOR,,
1HB,004,1HB.004,Import the Financial Plan Data File(Import Financial Plan Data),F1711,,CompanyCode,integrateERPPC,SAP_BR_BUDGET_SPECIALIST,,
1HB,005,1HB.005,Import the Financial Plan Data File(Import Financial Plan Data),F1711,,CompanyCode,integrateERPPC,SAP_BR_BUDGET_SPECIALIST,,
1HB,006,1HB.006,Import Statistical Key Figure Plan Data,F3779,,StatisticalKeyFigure,uploadPlanData,SAP_BR_OVERHEAD_ACCOUNTANT,,
1HB,007,1HB.007,Optional: Copy Financial Plan Data(Copy Financial Plan Data),F3396,,CompanyCode,copyPlanData,SAP_BR_BUDGET_SPECIALIST,,
1HB,008,1HB.008,Optional: Delete Financial Plan Data(Delete Financial Plan Data),F4074,,CompanyCode,deletePlanningTransaction,SAP_BR_BUDGET_SPECIALIST,,
1HB,009,1HB.009,Optional: Delete Financial Plan Data(Delete Financial Plan Data - with Timestamp),F4074,,CompanyCode,deletePlanningTransaction,SAP_BR_BUDGET_SPECIALIST,,
1HB,010,1HB.010,Commitments by Cost Center,F3016,,CostCenter,displayCommitments,SAP_BR_OVERHEAD_ACCOUNTANT,,
1IQ,001,1IQ.001,Create Sales Inquiry(Manage Sales Inquiries),F2370,,SalesInquiry,manage,SAP_BR_INTERNAL_SALES_REP,,
1IQ,002,1IQ.002,Change Sales Inquiry(Manage Sales Inquiries),F2370,,SalesInquiry,manage,SAP_BR_INTERNAL_SALES_REP,,
1IQ,003,1IQ.003,Reject Sales Inquiry(Manage Sales Inquiries),F2370,,SalesInquiry,manage,SAP_BR_INTERNAL_SALES_REP,,
1IU,001,1IU.001,Create Consignment Fill-Up Order(Manage Sales Orders),F1873,,SalesOrder,manage,SAP_BR_EXTERNAL_AUDITOR,,
1IU,002,1IU.002,Create Outbound Delivery(Create Outbound Deliveries),F0869A,,OutboundDelivery,createFromDueList,SAP_BR_SHIPPING_SPECIALIST,,
1IU,003,1IU.003,Create Outbound Delivery(Create Outbound Deliveries - From Sales Orders),F0869A,,OutboundDelivery,createFromDueList,SAP_BR_SHIPPING_SPECIALIST,,
1IU,004,1IU.004,Pick Goods(Manage Outbound Deliveries),F0867A,,OutboundDelivery,manage,SAP_BR_EXTERNAL_AUDITOR,,
1IU,005,1IU.005,Pick Goods(Manage Outbound Deliveries - VL06O),,VL06O_CLOUD,OutboundDelivery,monitoringInWebGuiCloud,SAP_BR_SHIPPING_SPECIALIST,,
1IU,006,1IU.006,Check Batches (Optional)(Change Outbound Delivery),,VL02N,OutboundDelivery,changeInWebGUI,SAP_BR_RFM_STORE_ASSOCIATE,,
1IU,007,1IU.007,Post Goods Issue(Manage Outbound Deliveries),F0867A,,OutboundDelivery,manage,SAP_BR_EXTERNAL_AUDITOR,,
1IU,008,1IU.008,Post Goods Issue(Display Outbound Delivery),,VL03N,OutboundDelivery,displayInWebGUI,SAP_BR_SHIPPING_SPECIALIST,,
1IU,009,1IU.009,Post Goods Issue(Manage Outbound Deliveries - VL06O),,VL06O_CLOUD,OutboundDelivery,monitoringInWebGuiCloud,SAP_BR_SHIPPING_SPECIALIST,,
1IU,010,1IU.010,Check Stock Overview(Stock),F1076,,Material,displayStockOverview,SAP_BR_ALLOCATOR_RETAIL,,
1IU,011,1IU.011,Check Stock Overview(Stock - Multiple Materials),F1595,,Material,displayStockMultipleMaterials,SAP_BR_EXTERNAL_AUDITOR,,
1IU,012,1IU.012,Create Consignment Issue Order(Manage Sales Orders),F1873,,SalesOrder,manage,SAP_BR_EXTERNAL_AUDITOR,,
1IU,013,1IU.013,Option 1: Without Scheduling(Create Outbound Deliveries),F0869A,,OutboundDelivery,createFromDueList,SAP_BR_SHIPPING_SPECIALIST,,
1IU,014,1IU.014,Option 1: Without Scheduling(Create Outbound Deliveries - From Sales Orders),F0869A,,OutboundDelivery,createFromDueList,SAP_BR_SHIPPING_SPECIALIST,,
1IU,015,1IU.015,Option 2: With Scheduling(Schedule Delivery Creation),F2228,,DeliveryApplicationJob,scheduleOutbDlvCreation,SAP_BR_SHIPPING_SPECIALIST,,
1IU,016,1IU.016,Check Batches (Optional)(Change Outbound Delivery),,VL02N,OutboundDelivery,changeInWebGUI,SAP_BR_RFM_STORE_ASSOCIATE,,
1IU,017,1IU.017,Option 1: Without Scheduling(Manage Outbound Deliveries),F0867A,,OutboundDelivery,manage,SAP_BR_EXTERNAL_AUDITOR,,
1IU,018,1IU.018,Option 1: Without Scheduling(Manage Outbound Deliveries - VL06O),,VL06O_CLOUD,OutboundDelivery,monitoringInWebGuiCloud,SAP_BR_SHIPPING_SPECIALIST,,
1IU,019,1IU.019,Option 2: With Scheduling(Schedule Goods Issue for Deliveries),F2259,,DeliveryApplicationJob,scheduleGICreation,SAP_BR_SHIPPING_SPECIALIST,,
1IU,020,1IU.020,Check Stock Overview(Stock),F1076,,Material,displayStockOverview,SAP_BR_ALLOCATOR_RETAIL,,
1IU,021,1IU.021,Check Stock Overview(Stock - Multiple Materials),F1595,,Material,displayStockMultipleMaterials,SAP_BR_EXTERNAL_AUDITOR,,
1IU,022,1IU.022,Create Customer Invoice (Optional)(Create Billing Documents),F0798,,BillingDocument,create,SAP_BR_BILLING_CLERK,,
1IU,023,1IU.023,Create Consignment Pick-Up Order(Create Sales Orders),F4920,,SalesOrderRequest,autoExtract,SAP_BR_INTERNAL_SALES_REP,,
1IU,024,1IU.024,Create Consignment Pick-Up Order(Display Sales Orders),,VA03,SalesDocument,display,SAP_BR_EXTERNAL_AUDITOR_SLS,,
1IU,025,1IU.025,Create Consignment Pick-Up Order(Create Sales Orders - VA01),,VA01,SalesDocument,create,SAP_BR_INTERNAL_SALES_REP,,
1IU,026,1IU.026,Create Consignment Pick-Up Order(Display Sales Orders - VA03),,VA03,SalesDocument,display,SAP_BR_EXTERNAL_AUDITOR_SLS,,
1IU,027,1IU.027,Create Return Delivery(Create Outbound Delivery),,VL01N,OutboundDelivery,createInWebGUI,SAP_BR_RFM_STORE_ASSOCIATE,,
1IU,028,1IU.028,Create Return Delivery(Display Outbound Delivery),,VL03N,OutboundDelivery,displayInWebGUI,SAP_BR_SHIPPING_SPECIALIST,,
1IU,029,1IU.029,Create Return Delivery(Create Outbound Delivery - With Order Reference),,VL01N,OutboundDelivery,createInWebGUI,SAP_BR_RFM_STORE_ASSOCIATE,,
1IU,030,1IU.030,Receive Returned Goods(Manage Outbound Deliveries),F0867A,,OutboundDelivery,manage,SAP_BR_EXTERNAL_AUDITOR,,
1IU,031,1IU.031,Receive Returned Goods(Manage Outbound Deliveries - VL06O),,VL06O_CLOUD,OutboundDelivery,monitoringInWebGuiCloud,SAP_BR_SHIPPING_SPECIALIST,,
1IU,032,1IU.032,Check Batches (Optional)(Change Outbound Delivery),,VL02N,OutboundDelivery,changeInWebGUI,SAP_BR_RFM_STORE_ASSOCIATE,,
1IU,033,1IU.033,Post Goods Receipt(Manage Outbound Deliveries),F0867A,,OutboundDelivery,manage,SAP_BR_EXTERNAL_AUDITOR,,
1IU,034,1IU.034,Post Goods Receipt(Manage Outbound Deliveries - VL06O),,VL06O_CLOUD,OutboundDelivery,monitoringInWebGuiCloud,SAP_BR_SHIPPING_SPECIALIST,,
1IU,035,1IU.035,Check Stock Overview(Stock),F1076,,Material,displayStockOverview,SAP_BR_ALLOCATOR_RETAIL,,
1IU,036,1IU.036,Check Stock Overview(Stock - Multiple Materials),F1595,,Material,displayStockMultipleMaterials,SAP_BR_EXTERNAL_AUDITOR,,
1IU,037,1IU.037,Create Consignment Return Order(Create Sales Orders),F4920,,SalesOrderRequest,autoExtract,SAP_BR_INTERNAL_SALES_REP,,
1IU,038,1IU.038,Create Consignment Return Order(Create Sales Orders - VA01),,VA01,SalesDocument,create,SAP_BR_INTERNAL_SALES_REP,,
1IU,039,1IU.039,Option 1: Without Scheduling(Create Outbound Delivery),,VL01N,OutboundDelivery,createInWebGUI,SAP_BR_RFM_STORE_ASSOCIATE,,
1IU,040,1IU.040,Option 1: Without Scheduling(Create Outbound Delivery - With Order Reference),,VL01N,OutboundDelivery,createInWebGUI,SAP_BR_RFM_STORE_ASSOCIATE,,
1IU,041,1IU.041,Option 2: With Scheduling(Schedule Delivery Creation),F2228,,DeliveryApplicationJob,scheduleOutbDlvCreation,SAP_BR_SHIPPING_SPECIALIST,,
1IU,042,1IU.042,Check Batches (Optional)(Change Outbound Delivery),,VL02N,OutboundDelivery,changeInWebGUI,SAP_BR_RFM_STORE_ASSOCIATE,,
1IU,043,1IU.043,Option 1: Without Scheduling(Manage Outbound Deliveries),F0867A,,OutboundDelivery,manage,SAP_BR_EXTERNAL_AUDITOR,,
1IU,044,1IU.044,Option 1: Without Scheduling(Manage Outbound Deliveries - VL06O),,VL06O_CLOUD,OutboundDelivery,monitoringInWebGuiCloud,SAP_BR_SHIPPING_SPECIALIST,,
1IU,045,1IU.045,Option 2: With Scheduling(Schedule Goods Issue for Deliveries),F2259,,DeliveryApplicationJob,scheduleGICreation,SAP_BR_SHIPPING_SPECIALIST,,
1IU,046,1IU.046,Check Stock Overview(Stock),F1076,,Material,displayStockOverview,SAP_BR_ALLOCATOR_RETAIL,,
1IU,047,1IU.047,Check Stock Overview(Stock - Multiple Materials),F1595,,Material,displayStockMultipleMaterials,SAP_BR_EXTERNAL_AUDITOR,,
1IU,048,1IU.048,Release Consignment Return Order for Billing(Manage Customer Returns),F1708,,CustomerReturn,manage,SAP_BR_RETURNS_REFUND_CLERK,,
1IU,049,1IU.049,Release Consignment Return Order for Billing(Customer Returns),,W0139,CustomerReturn,analyzeReturn,SAP_BR_RETURNS_REFUND_CLERK,,
1IU,050,1IU.050,Create Credit Memo(Create Billing Documents),F0798,,BillingDocument,create,SAP_BR_BILLING_CLERK,,
1IU,051,1IU.051,CFDI 3.3 eDocument Cockpit(eDocument Cockpit),,EDOC_COCKPIT,ElectronicDocument,cockpit,SAP_BR_AR_ACCOUNTANT_CL,,
1J2,001,1J2.001,Manage Document and Reporting(Manage Document and Reporting Compliance),F5218,,GlobalCompliance,overview,SAP_BR_AA_ACCOUNTANT_BG,,
1J2,002,1J2.002,Manage Document and Reporting(Run Statutory Reports),F1515,,ReportingTask,run,SAP_BR_AA_ACCOUNTANT_BG,,
1J2,003,1J2.003,Run Compliance Reports - Mexico VAT Report(Run Statutory Reports),F1515,,ReportingTask,run,SAP_BR_AA_ACCOUNTANT_BG,,
1J2,004,1J2.004,Run Compliance Reports - Mexico VAT Report(Run Statutory Reports - Mexico GL Reporting),F1515_MX_2,,ReportingTask,runMXGLReport,SAP_BR_GL_ACCOUNTANT_MX,,
1J2,005,1J2.005,Run Compliance Reports - Mexico DIOT Report(Run Statutory Reports),F1515,,ReportingTask,run,SAP_BR_AA_ACCOUNTANT_BG,,
1J2,006,1J2.006,Run Compliance Reports - Mexico DIOT Report(Run Statutory Reports - Mexico GL Reporting),F1515_MX_2,,ReportingTask,runMXGLReport,SAP_BR_GL_ACCOUNTANT_MX,,
1J2,007,1J2.007,Run Compliance Reports - MX Chart of Accounts Reporting(Run Statutory Reports),F1515,,ReportingTask,run,SAP_BR_AA_ACCOUNTANT_BG,,
1J2,008,1J2.008,Run Compliance Reports - MX Chart of Accounts Reporting(Run Statutory Reports - Mexico GL Reporting),F1515_MX_2,,ReportingTask,runMXGLReport,SAP_BR_GL_ACCOUNTANT_MX,,
1J2,009,1J2.009,Run Compliance Reports - MX Account Balance Reporting(Run Statutory Reports),F1515,,ReportingTask,run,SAP_BR_AA_ACCOUNTANT_BG,,
1J2,010,1J2.010,Run Compliance Reports - MX Account Balance Reporting(Run Statutory Reports - Mexico GL Reporting),F1515_MX_2,,ReportingTask,runMXGLReport,SAP_BR_GL_ACCOUNTANT_MX,,
1J2,011,1J2.011,Run Compliance Reports - MX Account Balance Reporting - Period 13(Run Statutory Reports),F1515,,ReportingTask,run,SAP_BR_AA_ACCOUNTANT_BG,,
1J2,012,1J2.012,Run Compliance Reports - MX Account Balance Reporting - Period 13(Run Statutory Reports - Mexico GL Reporting),F1515_MX_2,,ReportingTask,runMXGLReport,SAP_BR_GL_ACCOUNTANT_MX,,
1J2,013,1J2.013,Run Compliance Reports - MX Withholding Tax Declaration(Run Statutory Reports),F1515,,ReportingTask,run,SAP_BR_AA_ACCOUNTANT_BG,,
1J2,014,1J2.014,Run Compliance Reports - MX Withholding Tax Declaration(Run Statutory Reports - Mexico GL Reporting),F1515_MX_2,,ReportingTask,runMXGLReport,SAP_BR_GL_ACCOUNTANT_MX,,
1J2,015,1J2.015,Run Compliance Reports - MX Auxiliary Report for Accounts(Run Statutory Reports),F1515,,ReportingTask,run,SAP_BR_AA_ACCOUNTANT_BG,,
1J2,016,1J2.016,Run Compliance Reports - MX Auxiliary Report for Accounts(Run Statutory Reports - Mexico GL Reporting),F1515_MX_2,,ReportingTask,runMXGLReport,SAP_BR_GL_ACCOUNTANT_MX,,
1J2,017,1J2.017,Run Compliance Reports - MX Journal Entry Details(Run Statutory Reports),F1515,,ReportingTask,run,SAP_BR_AA_ACCOUNTANT_BG,,
1J2,018,1J2.018,Run Compliance Reports - MX Journal Entry Details(Run Statutory Reports - Mexico GL Reporting),F1515_MX_2,,ReportingTask,runMXGLReport,SAP_BR_GL_ACCOUNTANT_MX,,
1J2,019,1J2.019,MX Folios' Auxiliary XML File for eAccounting(Run Statutory Reports),F1515,,ReportingTask,run,SAP_BR_AA_ACCOUNTANT_BG,,
1J2,020,1J2.020,MX Folios' Auxiliary XML File for eAccounting(Run Statutory Reports - Mexico GL Reporting),F1515_MX_2,,ReportingTask,runMXGLReport,SAP_BR_GL_ACCOUNTANT_MX,,
1JW,001,1JW.001,Configure BOP Segment,F2158,,ABOPSegment,configure,SAP_BR_ORDER_FULFILLMNT_MNGR,,
1JW,002,1JW.002,Configure BOP Variant,F2160,,ABOPVariant,configure,SAP_BR_ORDER_FULFILLMNT_MNGR,,
1JW,003,1JW.003,Configure Custom BOP Sorting,F2983,,ABOPCustomSort,configure,SAP_BR_ORDER_FULFILLMNT_MNGR,,
1JW,004,1JW.004,Schedule BOP Run,F2665,,ABOPRun,schedule,SAP_BR_ORDER_FULFILLMNT_MNGR,,
1JW,005,1JW.005,Monitor BOP Run,F2159,,ABOPRun,monitor,SAP_BR_ORDER_FULFILLMNT_MNGR,,
1JW,006,1JW.006,Configure Order Fulfillment Responsibilities,F2246,,OrderFulfillmentResponsibility,configure,SAP_BR_ORDER_FULFILLMNT_MNGR,,
1JW,007,1JW.007,Prepare/Release Sales Orders for Materials Without Availability Issues for Delivery(Release for Delivery),F1786,,ATPRequirement,releaseForDelivery,SAP_BR_ORDER_FULFILLMNT_SPCLST,,
1JW,008,1JW.008,Identify Most Important Sales Orders for Materials with Availability Issues(Release for Delivery),F1786,,ATPRequirement,releaseForDelivery,SAP_BR_ORDER_FULFILLMNT_SPCLST,,
1JW,009,1JW.009,Solve Issues by Redistributing Quantities(Release for Delivery),F1786,,ATPRequirement,releaseForDelivery,SAP_BR_ORDER_FULFILLMNT_SPCLST,,
1JW,010,1JW.010,Release Processed Sales Orders(Release for Delivery),F1786,,ATPRequirement,releaseForDelivery,SAP_BR_ORDER_FULFILLMNT_SPCLST,,
1JW,011,1JW.011,Configure Product Allocation,F2119,,ProductAllocationObject,configureProductAllocation,SAP_BR_ORDER_FULFILLMNT_MNGR,,
1JW,012,1JW.012,Manage Product Allocation Planning Data,F2121,,ProductAllocationObject,displayFactSheet,SAP_BR_ORDER_FULFILLMNT_MNGR,,
1JW,013,1JW.013,Manage Product Allocation Sequences,F2474,,ProductAllocationSequence,manageProductAllocationSequences,SAP_BR_ORDER_FULFILLMNT_MNGR,,
1JW,014,1JW.014,Assign Product to Product Allocation,F2120,,ProductAllocationSequence,assignProductToProductAllocation,SAP_BR_ORDER_FULFILLMNT_MNGR,,
1JW,015,1JW.015,Assign Product to Product Allocation(Product Allocation Overview),F3474,,ProductAllocation,displayProductAllocationOverview,SAP_BR_ORDER_FULFILLMNT_MNGR,,
1JW,016,1JW.016,Check Availability with Product Allocation (PAL)(Manage Sales Orders),F1873,,SalesOrder,manage,SAP_BR_EXTERNAL_AUDITOR,,
1JW,017,1JW.017,Check Availability with Product Allocation (PAL)(Manage Product Allocation Planning Data),F2121,,ProductAllocationObject,displayFactSheet,SAP_BR_ORDER_FULFILLMNT_MNGR,,
1JW,018,1JW.018,Check Availability with Product Allocation (PAL)(Assign Product to Product Allocation),F2120,,ProductAllocationSequence,assignProductToProductAllocation,SAP_BR_ORDER_FULFILLMNT_MNGR,,
1JW,019,1JW.019,Configure Substitution Strategy,F2699,,SubstitutionStrategy,configure,SAP_BR_ORDER_FULFILLMNT_MNGR,,
1JW,020,1JW.020,Manage Characteristic Combinations,F5303,,ObjValDetnCharcCombination,manage,SAP_BR_BPC_EXPERT,,
1JW,021,1JW.021,Configure Alternative Control,F2698,,AlternativeControl,configure,SAP_BR_ORDER_FULFILLMNT_MNGR,,
1JW,022,1JW.022,Check Availability with Alternative-Based Confirmation (ABC)(Manage Sales Orders),F1873,,SalesOrder,manage,SAP_BR_EXTERNAL_AUDITOR,,
1JW,023,1JW.023,Check Availability with Alternative-Based Confirmation (ABC)(Configure Alternative Control),F2698,,AlternativeControl,configure,SAP_BR_ORDER_FULFILLMNT_MNGR,,
1JW,024,1JW.024,Create Master Data for Supply Protection (SUP)(Manage Supply Protection),F4569,,SupAvailabilityProtectionPlan,manage,SAP_BR_ORDER_FULFILLMNT_MNGR,,
1JW,025,1JW.025,Check Availability with Supply Protection (SUP)(Manage Sales Orders),F1873,,SalesOrder,manage,SAP_BR_EXTERNAL_AUDITOR,,
1JW,026,1JW.026,Business Process Scheduling (BPS)(Configure Activity Attributes),F6439,,BusProcSchedgActyAttribute,configure,SAP_BR_BPC_EXPERT,,
1JW,027,1JW.027,Manage Characteristic Combinations,F5303,,ObjValDetnCharcCombination,manage,SAP_BR_BPC_EXPERT,,
1JW,028,1JW.028,Configure Activity Attributes,F6439,,BusProcSchedgActyAttribute,configure,SAP_BR_BPC_EXPERT,,
1JW,029,1JW.029,Scheduling with Days Granularity(Create Sales Orders),F4920,,SalesOrderRequest,autoExtract,SAP_BR_INTERNAL_SALES_REP,,
1JW,030,1JW.030,Scheduling with Days Granularity(Create Sales Orders - VA01),,VA01,SalesDocument,create,SAP_BR_INTERNAL_SALES_REP,,
1JW,031,1JW.031,Scheduling with Days Granularity(Configure Activity Attributes),F6439,,BusProcSchedgActyAttribute,configure,SAP_BR_BPC_EXPERT,,
1JW,032,1JW.032,Check Availability with Supply Creation-Based Confirmation (SBC)(Manage Sales Orders),F1873,,SalesOrder,manage,SAP_BR_EXTERNAL_AUDITOR,,
1K2,001,1K2.001,Monitor Revenue Recognition (Event-Based): Sales Order(Event-Based Revenue Recognition),F5406,,EventBasedRevnRecgn,monitorProviderContract,SAP_BR_SALES_ACCOUNTANT,,
1K2,002,1K2.002,Monitor Revenue Recognition (Event-Based): Sales Order(Sales Orders),F2458,,SalesOrder,ssb_Demand_Flmt,SAP_BR_SALES_MANAGER,,
1K2,003,1K2.003,Monitor Revenue Recognition (Event-Based): Sales Order(Event-Based Revenue Recognition - Sales Orders),F2441,,EventBasedRevnRecgn,monitorSalesOrder,SAP_BR_SALES_ACCOUNTANT,,
1K2,004,1K2.004,Manage Real-Time Revenue Recognition Issues,F4101,,EventBasedRevnRecgn,manageRevRecRealTimeIssues,SAP_BR_PROJECT_MANAGER_PROF,,
1K2,005,1K2.005,Run Revenue Recognition: Sales Orders(Run Revenue Recognition),F4277,,FinanceApplicationJob,scheduleRevRecProjects,SAP_BR_PROJECT_MANAGER_PROF,,
1K2,006,1K2.006,Run Revenue Recognition: Sales Orders(Sales Orders),F2458,,SalesOrder,ssb_Demand_Flmt,SAP_BR_SALES_MANAGER,,
1K2,007,1K2.007,Run Revenue Recognition: Sales Orders(Run Revenue Recognition - Sales Orders),F4276,,FinanceApplicationJob,scheduleRevRecSalesOrders,SAP_BR_SALES_ACCOUNTANT,,
1K2,008,1K2.008,Manage Revenue Recognition Issues – Sales Orders(Manage Revenue Recognition Issues),F4100,,EventBasedRevnRecgn,manageRevRecIssuesProjects,SAP_BR_PROJECT_MANAGER_PROF,,
1K2,009,1K2.009,Manage Revenue Recognition Issues – Sales Orders(Sales Orders),F2458,,SalesOrder,ssb_Demand_Flmt,SAP_BR_SALES_MANAGER,,
1K2,010,1K2.010,Manage Revenue Recognition Issues – Sales Orders(Manage Revenue Recognition Issues - Sales Orders),F4185,,EventBasedRevnRecgn,manageRevRecSalesOrders,SAP_BR_SALES_ACCOUNTANT,,
1K2,011,1K2.011,Sales Order Actual Data Reporting(Sales Orders),F2458,,SalesOrder,ssb_Demand_Flmt,SAP_BR_SALES_MANAGER,,
1K2,012,1K2.012,Sales Order Actual Data Reporting(Sales Orders - Actuals),F1582C,,,,,,
1MI,001,1MI.001,Create Delivery(Create Outbound Delivery),,VL01N,OutboundDelivery,createInWebGUI,SAP_BR_RFM_STORE_ASSOCIATE,,
1MI,002,1MI.002,Create Delivery(Create Outbound Delivery - Without Order Reference),,VL01NO,OutboundDelivery,createNoReferenceInWebGUI,SAP_BR_SHIPPING_SPECIALIST,,
1MI,003,1MI.003,Create Attachment for Delivery (Optional)(Change Outbound Delivery),,VL02N,OutboundDelivery,changeInWebGUI,SAP_BR_RFM_STORE_ASSOCIATE,,
1MI,004,1MI.004,Enter Batch Number (Optional)(Change Outbound Delivery),,VL02N,OutboundDelivery,changeInWebGUI,SAP_BR_RFM_STORE_ASSOCIATE,,
1MI,005,1MI.005,Execute Picking(Manage Outbound Deliveries),F0867A,,OutboundDelivery,manage,SAP_BR_EXTERNAL_AUDITOR,,
1MI,006,1MI.006,Execute Picking(Manage Outbound Deliveries - VL06O),,VL06O_CLOUD,OutboundDelivery,monitoringInWebGuiCloud,SAP_BR_SHIPPING_SPECIALIST,,
1MI,007,1MI.007,Split Outbound Delivery (Optional)(Split Outbound Delivery),,VLSP,OutboundDelivery,splitInWebGUI,SAP_BR_SHIPPING_SPECIALIST,,
1MI,008,1MI.008,Add Freight Costs (Optional)(Change Outbound Delivery),,VL02N,OutboundDelivery,changeInWebGUI,SAP_BR_RFM_STORE_ASSOCIATE,,
1MI,009,1MI.009,Posting Goods Issue(Manage Outbound Deliveries),F0867A,,OutboundDelivery,manage,SAP_BR_EXTERNAL_AUDITOR,,
1MI,010,1MI.010,Posting Goods Issue(Display Outbound Delivery),,VL03N,OutboundDelivery,displayInWebGUI,SAP_BR_SHIPPING_SPECIALIST,,
1MI,011,1MI.011,Posting Goods Issue(Manage Outbound Deliveries - VL06O),,VL06O_CLOUD,OutboundDelivery,monitoringInWebGuiCloud,SAP_BR_SHIPPING_SPECIALIST,,
1MI,012,1MI.012,Proof of Delivery (Optional)(Change Outbound Delivery),,VL02N,OutboundDelivery,changeInWebGUI,SAP_BR_RFM_STORE_ASSOCIATE,,
1MI,013,1MI.013,Proof of Delivery (Optional)(Change Outbound Delivery - Proof of Delivery),,VLPOD,OutboundDelivery,changePODInWebGUI,SAP_BR_SHIPPING_SPECIALIST,,
1MI,014,1MI.014,Create Billing Document(Create Billing Documents),F0798,,BillingDocument,create,SAP_BR_BILLING_CLERK,,
1MI,015,1MI.015,Create Billing Document(Manage Billing Documents),F0797,,BillingDocument,manage,SAP_BR_ADMINISTRATOR_RFM,,
1MI,016,1MI.016,Create Attachment for Billing (Optional)(Manage Billing Documents),F0797,,BillingDocument,manage,SAP_BR_ADMINISTRATOR_RFM,,
1MI,017,1MI.017,CFDI 3.3 eDocument Cockpit(eDocument Cockpit),,EDOC_COCKPIT,ElectronicDocument,cockpit,SAP_BR_AR_ACCOUNTANT_CL,,
1MP,001,1MP.001,Create Sales Order(Manage Sales Orders),F1873,,SalesOrder,manage,SAP_BR_EXTERNAL_AUDITOR,,
1MP,002,1MP.002,Display Inspection Plan for Inspection Characteristics (Optional)(Display Inspection Plan),,QP03,InspectionBillOfOperations,display,SAP_BR_QUALITY_ENGINEER,,
1MP,003,1MP.003,Create Delivery(Create Outbound Deliveries),F0869A,,OutboundDelivery,createFromDueList,SAP_BR_SHIPPING_SPECIALIST,,
1MP,004,1MP.004,Create Delivery(Create Outbound Deliveries - From Sales Orders),F0869A,,OutboundDelivery,createFromDueList,SAP_BR_SHIPPING_SPECIALIST,,
1MP,005,1MP.005,Execute Picking(Manage Outbound Deliveries),F0867A,,OutboundDelivery,manage,SAP_BR_EXTERNAL_AUDITOR,,
1MP,006,1MP.006,Execute Picking(My Outbound Delivery Monitor),,VL06O,,,,,
1MP,007,1MP.007,Display Quality Technician Overview (Optional)(Quality Technician Overview),F2361,,InspectionLot,displayOverviewQualityTechnician,SAP_BR_QUALITY_TECHNICIAN,,
1MP,008,1MP.008,Display Open Inspection Lots (Optional)(Manage Inspection Lots),F2343,,InspectionLot,manage,SAP_BR_QUALITY_ENGINEER,,
